Study,YOR,HI
Rowntree et al. (2014),1928,0.39302329999999996
Rowntree et al. (2014),1928,0.4302326
Rowntree et al. (2014),1928,0.4534884
Rowntree et al. (2014),1928,0.5
Rowntree et al. (2014),1928,0.4765365
Rowntree et al. (2014),1932,0.3302326
Rowntree et al. (2014),1932,0.3069767
Rowntree et al. (2014),1932,0.35664769999999996
Rowntree et al. (2014),1932,0.39426659999999997
Rowntree et al. (2014),1932,0.4418605
Rowntree et al. (2014),1932,0.42093020000000003
Rowntree et al. (2014),1938,0.5372093
Rowntree et al. (2014),1938,0.33255809999999997
Rowntree et al. (2014),1938,0.34883719999999996
Rowntree et al. (2014),1938,0.42259630000000004
Rowntree et al. (2014),1938,0.4457657
Rowntree et al. (2014),1938,0.39157980000000003
Rowntree et al. (2014),1938,0.4930233
Rowntree et al. (2014),1947,0.43488370000000004
Rowntree et al. (2014),1947,0.45116280000000003
Rowntree et al. (2014),1947,0.3465116
Rowntree et al. (2014),1947,0.3767442
Rowntree et al. (2014),1947,0.4046938
Rowntree et al. (2014),1951,0.4790698
Rowntree et al. (2014),1951,0.46046509999999996
Rowntree et al. (2014),1951,0.4418605
Rowntree et al. (2014),1951,0.41672919999999997
Rowntree et al. (2014),1958,0.4186047
Rowntree et al. (2014),1958,0.5
Rowntree et al. (2014),1958,0.39398299999999997
Rowntree et al. (2014),1963,0.5139535
Rowntree et al. (2014),1963,0.46046509999999996
Rowntree et al. (2014),1963,0.4418605
Rowntree et al. (2014),1963,0.3083979
Rowntree et al. (2014),1963,0.338043
Rowntree et al. (2014),1963,0.42201079999999996
Rowntree et al. (2014),1963,0.227907
Rowntree et al. (2014),1965,0.36713470000000004
Rowntree et al. (2014),1965,0.33255809999999997
Rowntree et al. (2014),1965,0.4116279
Rowntree et al. (2014),1967,0.4534884
Rowntree et al. (2014),1967,0.4069767
Rowntree et al. (2014),1967,0.4790698
Rowntree et al. (2014),1967,0.4380661
Rowntree et al. (2014),1967,0.4976744
Rowntree et al. (2014),1968,0.36279069999999997
Rowntree et al. (2014),1968,0.4069767
Rowntree et al. (2014),1970,0.472093
Rowntree et al. (2014),1970,0.44418599999999997
Rowntree et al. (2014),1970,0.41395350000000003
Rowntree et al. (2014),1970,0.3953488
Rowntree et al. (2014),1970,0.3134461
Rowntree et al. (2014),1970,0.38279870000000005
Rowntree et al. (2014),1972,0.3883721
Rowntree et al. (2014),1972,0.5
Rowntree et al. (2014),1972,0.425155
Rowntree et al. (2014),1972,0.4563753
Rowntree et al. (2014),1975,0.4116279
Rowntree et al. (2014),1975,0.4372093
Rowntree et al. (2014),1975,0.46769710000000003
Rowntree et al. (2014),1977,0.44418599999999997
Rowntree et al. (2014),1977,0.4581395
Rowntree et al. (2014),1977,0.4697674
Rowntree et al. (2014),1977,0.3813953
Rowntree et al. (2014),1977,0.4046512
Rowntree et al. (2014),1978,0.37906979999999996
Rowntree et al. (2014),1978,0.34773780000000004
Rowntree et al. (2014),1978,0.47674419999999995
Rowntree et al. (2014),1979,0.4388549
Rowntree et al. (2014),1979,0.3860465
Rowntree et al. (2014),1979,0.4162791
Rowntree et al. (2014),1979,0.344186
Rowntree et al. (2014),1979,0.36511629999999995
Rowntree et al. (2014),1979,0.4976744
Rowntree et al. (2014),1979,0.5162791
Rowntree et al. (2014),1979,0.3955955
Rowntree et al. (2014),1982,0.46046509999999996
Rowntree et al. (2014),1982,0.39302329999999996
Rowntree et al. (2014),1982,0.4344336
Rowntree et al. (2014),1984,0.4697674
Rowntree et al. (2014),1984,0.36279069999999997
Rowntree et al. (2014),1984,0.49069769999999996
Rowntree et al. (2014),1984,0.4255814
Rowntree et al. (2014),1985,0.4138543
Rowntree et al. (2014),1985,0.3860465
Rowntree et al. (2014),1985,0.45116280000000003
Rowntree et al. (2014),1985,0.3291332
Rowntree et al. (2014),1988,0.5093023
Rowntree et al. (2014),1988,0.4930233
Rowntree et al. (2014),1988,0.47441859999999997
Rowntree et al. (2014),1988,0.39302329999999996
Rowntree et al. (2014),1988,0.4092403
Rowntree et al. (2014),1989,0.43935029999999997
Rowntree et al. (2014),1989,0.34168819999999994
Rowntree et al. (2014),1989,0.4581395
Rowntree et al. (2014),1989,0.3821152
Rowntree et al. (2014),1989,0.4186047
Rowntree et al. (2014),1989,0.5348837000000001
Rowntree et al. (2014),1989,0.4372093
Rowntree et al. (2014),1990,0.5069767000000001
Rowntree et al. (2014),1990,0.4846047
Rowntree et al. (2014),1991,0.3921189
Rowntree et al. (2014),1991,0.44388599999999995
Rowntree et al. (2014),1993,0.5
Rowntree et al. (2014),1993,0.4374941
Rowntree et al. (2014),1994,0.44651159999999995
Rowntree et al. (2014),1994,0.45877789999999996
Rowntree et al. (2014),1994,0.4
Rowntree et al. (2014),1994,0.43255809999999995
Rowntree et al. (2014),1994,0.3755814
Rowntree et al. (2014),1995,0.5627907
Rowntree et al. (2014),1995,0.477907
Rowntree et al. (2014),1995,0.5255814
Rowntree et al. (2014),1996,0.5093023
Rowntree et al. (2014),1996,0.42790700000000004
Rowntree et al. (2014),1996,0.52838
Rowntree et al. (2014),1996,0.4103909
Rowntree et al. (2014),1996,0.44418599999999997
Rowntree et al. (2014),1997,0.5325580999999999
Rowntree et al. (2014),1997,0.4186047
Rowntree et al. (2014),1997,0.4587037
Rowntree et al. (2014),1997,0.39240769999999997
Rowntree et al. (2014),1997,0.4418605
Rowntree et al. (2014),1997,0.47441859999999997
Rowntree et al. (2014),1998,0.5162791
Rowntree et al. (2014),1998,0.3744186
Rowntree et al. (2014),1998,0.41395350000000003
Rowntree et al. (2014),2000,0.5162791
Rowntree et al. (2014),2000,0.5
Rowntree et al. (2014),2000,0.3604651
Rowntree et al. (2014),2000,0.45561169999999995
Rowntree et al. (2014),2000,0.39769
Rowntree et al. (2014),2001,0.5255814
Rowntree et al. (2014),2001,0.5627907
Rowntree et al. (2014),2001,0.46046509999999996
Rowntree et al. (2014),2001,0.4276444
Rowntree et al. (2014),2001,0.44418599999999997
Rowntree et al. (2014),2001,0.4790698
Rowntree et al. (2014),2001,0.4976744
Rowntree et al. (2014),2001,0.5209302
Rowntree et al. (2014),2003,0.423803
Rowntree et al. (2014),2003,0.4651163
Rowntree et al. (2014),2004,0.5325580999999999
Rowntree et al. (2014),2004,0.4802326
Rowntree et al. (2014),2005,0.5040364
Rowntree et al. (2014),2005,0.5139535
Rowntree et al. (2014),2005,0.5325580999999999
Rowntree et al. (2014),2005,0.4860465
Rowntree et al. (2014),2005,0.4523256
Rowntree et al. (2014),2005,0.42093020000000003
Rowntree et al. (2014),2006,0.4697674
Rowntree et al. (2014),2006,0.4488372
Rowntree et al. (2014),2006,0.43488370000000004
Rowntree et al. (2014),2008,0.4674419
Rowntree et al. (2014),2008,0.5302326
Rowntree et al. (2014),2008,0.4418605
Rowntree et al. (2014),2008,0.39302329999999996
Rowntree et al. (2014),2008,0.47805610000000004
Rowntree et al. (2014),2008,0.40649219999999997
Rowntree et al. (2014),2008,0.347416
Li et al. (2017),1966,0.4279621
Li et al. (2017),1971,0.4298578
Li et al. (2017),1983,0.4421801
Li et al. (2017),1987,0.4582938
Li et al. (2017),1991,0.4611374
Li et al. (2017),1991,0.4450237
Li et al. (2017),1996,0.4800948
Li et al. (2017),2001,0.5
Li et al. (2017),2001,0.4516588
Li et al. (2017),2002,0.5180095
Li et al. (2017),2006,0.5208531
Li et al. (2017),1966,0.4402844
Li et al. (2017),1971,0.4412322
Li et al. (2017),1983,0.4696682
Li et al. (2017),1987,0.4867299
Li et al. (2017),1991,0.5104265
Li et al. (2017),1991,0.4838863
Li et al. (2017),1996,0.5161137
Li et al. (2017),2001,0.5587678
Li et al. (2017),2001,0.4829384
Li et al. (2017),2002,0.5597156
Li et al. (2017),2006,0.5682464
Koester et al. 2014),1971,0.5233602
Koester et al. 2014),1927,0.3433404
Koester et al. 2014),1974,0.5142026
Koester et al. 2014),1984,0.5252097
Koester et al. 2014),1998,0.6326999
Koester et al. 2014),1964,0.5131163
Koester et al. 2014),1928,0.4953601
Koester et al. 2014),1934,0.4441818
Koester et al. 2014),1996,0.6077945
Koester et al. 2014),1989,0.5983673
Koester et al. 2014),1943,0.5223913
Koester et al. 2014),1987,0.5757078
Koester et al. 2014),1994,0.5223545
Koester et al. 2014),1968,0.5135323
Koester et al. 2014),1960,0.4329892
Koester et al. 2014),1964,0.472273
Koester et al. 2014),1958,0.5180549
Koester et al. 2014),1986,0.5497456
Koester et al. 2014),1958,0.4709854
Koester et al. 2014),2005,0.5915811
Koester et al. 2014),2004,0.5853755
Koester et al. 2014),2002,0.6003953
Koester et al. 2014),2007,0.5932806
Waqar et al (2025),1940,0.39
Waqar et al (2025),1955,0.41
